 ;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø
22 - Feb;119,77;119,77;119,47;17,96;17,96;16,05
22 - Jan;140,45;140,45;136,94;26,36;26,36;26,20
21 - Dec;174,34;174,30;173,91;59,62;59,62;59,53
21 - Nov;106,35;106,35;106,48;41,25;41,25;41,23
21 - Oct;97,68;98,91;97,51;24,99;24,99;22,22
21 - Sep;106,33;106,33;106,33;52,91;52,91;50,31
21 - Aug;71,78;71,80;71,85;57,11;57,11;42,82
21 - Jul;55,57;57,49;55,57;45,72;45,72;22,02
21 - Jun;46,22;54,05;46,19;35,17;35,17;20,92
21 - May;48,24;48,29;48,43;36,66;36,66;32,65
21 - Apr;45,00;44,18;44,19;27,65;27,65;26,77
21 - Mar;41,47;41,46;41,47;25,00;25,00;24,81
21 - Feb;52,97;47,43;52,88;42,83;42,83;41,31
21 - Jan;48,27;48,14;48,22;43,86;43,86;36,35
20 - Dec;20,18;20,18;19,67;14,24;14,24;13,25
20 - Nov;4,64;4,64;4,66;5,24;5,24;5,20
20 - Oct;13,15;13,15;12,62;11,99;11,99;9,52
20 - Sep;9,58;9,58;9,48;10,06;10,06;6,98
20 - Aug;3,69;3,89;3,43;6,44;6,44;5,71
20 - Jul;1,41;1,41;1,41;2,55;2,55;2,75
20 - Jun;1,46;1,46;1,46;3,16;3,16;3,16
20 - May;7,19;7,17;7,19;8,69;8,69;8,84
20 - Apr;4,69;4,69;4,69;4,65;4,65;4,74
20 - Mar;8,05;8,01;8,05;9,02;9,02;9,02
20 - Feb;12,46;12,33;12,46;13,74;13,74;13,71
20 - Jan;24,63;24,63;24,63;23,50;23,50;23,46
19 - Dec;38,02;37,91;38,04;35,62;35,62;35,58
19 - Nov;42,27;42,21;42,36;41,29;41,29;40,93
19 - Oct;36,73;36,70;36,73;36,60;36,60;36,22
19 - Sep;29,86;30,04;29,86;33,33;33,33;33,27
19 - Aug;34,73;34,73;34,73;36,63;36,63;36,22
19 - Jul;34,98;34,99;34,98;34,44;34,44;34,30
19 - Jun;30,07;30,21;30,07;25,99;25,99;26,04
19 - May;39,46;39,46;39,46;38,66;38,66;38,58
19 - Apr;41,39;41,34;41,39;41,32;41,32;41,25
19 - Mar;42,03;42,02;42,03;41,12;41,12;41,12
19 - Feb;46,35;46,28;46,30;45,31;45,31;45,31
19 - Jan;55,81;55,56;55,53;52,44;52,44;51,21
18 - Dec;51,79;51,77;51,64;51,14;51,14;50,61
18 - Nov;48,02;48,01;47,20;47,36;47,36;46,80
18 - Oct;41,78;41,77;39,74;42,93;42,93;44,03
18 - Sep;46,41;46,40;46,29;48,76;48,76;48,07
18 - Aug;51,47;50,69;50,67;51,43;51,43;50,19
18 - Jul;52,49;51,50;51,46;52,22;52,22;50,70
18 - Jun;44,60;44,59;44,53;45,20;45,20;45,15
18 - May;32,98;32,98;32,96;33,97;33,97;35,62
18 - Apr;38,84;38,57;38,86;39,15;39,15;39,55
18 - Mar;44,36;41,89;42,38;44,89;44,89;44,85
18 - Feb;38,30;38,23;38,25;39,34;39,34;37,38
 ;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø
